conversion_id,user_id,conversion_timestamp,conversion_type,order_id,revenue,product_category,customer_type
CNV0000001,USR0010624,2025-11-24 11:13:49,signup,ORD955130,862.2,Education,New
CNV0000002,USR0001762,2025-11-09 14:27:17,purchase,ORD774619,521.98,SaaS Subscription,New
CNV0000003,USR0007391,2025-07-14 17:31:05,subscription,ORD946616,63.62,Home Goods,Returning
CNV0000004,USR0006166,2025-05-24 10:48:44,demo_request,ORD702567,999.36,Electronics,New
CNV0000005,USR0017949,2025-09-15 15:59:48,subscription,ORD731743,539.36,SaaS Subscription,Returning
CNV0000006,USR0010954,2025-11-14 22:04:30,signup,ORD565579,303.44,Fashion,New
CNV0000007,USR0005021,2025-07-18 01:34:38,purchase,ORD821270,1196.08,Education,New
CNV0000008,USR0015451,2025-12-08 03:14:00,lead,ORD588783,275.1,Education,Returning
CNV0000009,USR0000750,2025-05-29 18:13:50,purchase,ORD865455,939.44,Education,New
CNV0000010,USR0008686,2025-02-18 16:01:52,purchase,ORD342407,672.4,SaaS Subscription,New
CNV0000011,USR0005918,2025-03-01 04:13:37,purchase,ORD425119,155.31,Home Goods,Returning
CNV0000012,USR0001521,2025-12-07 15:42:54,signup,ORD840045,536.74,SaaS Subscription,Returning
CNV0000013,USR0012216,2025-04-17 03:45:45,signup,ORD275981,680.04,Home Goods,Returning
CNV0000014,USR0016426,2025-10-02 21:29:52,lead,ORD533279,623.78,SaaS Subscription,New
CNV0000015,USR0012218,2025-11-08 15:01:55,lead,ORD163927,1626.8,Education,New
CNV0000016,USR0003692,2025-11-25 08:51:48,signup,ORD595374,551.51,SaaS Subscription,New
CNV0000017,USR0014094,2025-04-30 10:43:03,lead,ORD830362,950.83,SaaS Subscription,New
CNV0000018,USR0016215,2025-02-01 22:08:23,signup,ORD291541,686.32,SaaS Subscription,New
CNV0000019,USR0006707,2025-04-19 03:33:00,demo_request,ORD759542,258.51,Electronics,Returning
CNV0000020,USR0012772,2025-12-14 09:03:46,purchase,ORD652970,624.87,Home Goods,New
CNV0000021,USR0012059,2025-08-16 03:35:01,purchase,ORD455395,382.3,Fashion,New
CNV0000022,USR0016083,2025-06-17 09:20:29,signup,ORD949959,1108.65,Electronics,New
CNV0000023,USR0015241,2025-03-05 05:46:30,signup,ORD427122,1734.68,Electronics,New
CNV0000024,USR0015384,2025-12-15 10:54:18,purchase,ORD210223,912.19,SaaS Subscription,New
CNV0000025,USR0014887,2025-04-30 10:34:24,purchase,ORD215217,777.86,SaaS Subscription,New
CNV0000026,USR0004731,2025-02-21 03:35:08,signup,ORD824637,235.76,SaaS Subscription,Returning
CNV0000027,USR0002067,2025-11-15 14:18:37,lead,ORD211974,893.24,Electronics,Returning
CNV0000028,USR0007107,2025-05-17 12:17:06,subscription,ORD943304,303.19,Home Goods,Returning
CNV0000029,USR0007017,2025-06-22 03:17:58,purchase,ORD803874,212.59,SaaS Subscription,Returning
CNV0000030,USR0006238,2025-12-04 18:29:05,purchase,ORD880783,263.72,Fashion,Returning
CNV0000031,USR0011385,2025-04-09 15:52:20,signup,ORD885379,937.72,Education,New
CNV0000032,USR0003201,2025-10-02 12:39:57,lead,ORD865783,144.0,SaaS Subscription,New
CNV0000033,USR0005524,2025-11-30 06:09:02,purchase,ORD606192,650.14,SaaS Subscription,New
CNV0000034,USR0013481,2025-07-19 14:25:08,purchase,ORD928923,299.33,SaaS Subscription,New
CNV0000035,USR0014402,2025-09-26 02:28:43,subscription,ORD697141,679.26,SaaS Subscription,New
CNV0000036,USR0010325,2025-07-24 09:40:55,purchase,ORD682163,1596.25,Education,Returning
CNV0000037,USR0009866,2025-10-24 03:39:52,signup,ORD962198,375.97,Fashion,Returning
CNV0000038,USR0002118,2025-01-25 13:29:18,purchase,ORD709920,1381.28,Education,Returning
CNV0000039,USR0001539,2025-11-29 05:14:13,demo_request,ORD731847,113.46,Fashion,New
CNV0000040,USR0014122,2025-12-07 10:27:47,demo_request,ORD112132,654.98,SaaS Subscription,New
CNV0000041,USR0011287,2025-06-24 07:08:49,demo_request,ORD117229,102.48,Fashion,New
CNV0000042,USR0017760,2025-02-06 12:02:07,subscription,ORD523816,1415.34,Electronics,Returning
CNV0000043,USR0006192,2025-01-05 19:33:09,demo_request,ORD983444,342.25,Home Goods,Returning
CNV0000044,USR0015332,2025-03-02 02:13:33,purchase,ORD541987,320.16,Fashion,New
CNV0000045,USR0014679,2025-12-06 02:33:21,purchase,ORD535791,1058.88,Education,New
CNV0000046,USR0006839,2025-11-30 05:33:42,purchase,ORD980989,427.93,Fashion,Returning
CNV0000047,USR0016051,2025-03-26 01:36:45,signup,ORD344122,985.34,Electronics,Returning
CNV0000048,USR0007885,2025-02-11 09:33:04,demo_request,ORD381780,542.76,Education,New
CNV0000049,USR0004072,2025-12-12 18:41:36,subscription,ORD687142,540.9,Home Goods,New
CNV0000050,USR0000627,2025-12-10 20:27:42,demo_request,ORD827200,197.21,Fashion,New
CNV0000051,USR0000561,2025-01-09 14:05:44,subscription,ORD366559,277.67,Fashion,Returning
CNV0000052,USR0006902,2025-07-11 12:07:08,purchase,ORD399891,111.69,Education,Returning
CNV0000053,USR0010839,2025-07-31 11:33:57,purchase,ORD655491,130.73,Fashion,Returning
CNV0000054,USR0008672,2025-09-08 04:46:52,purchase,ORD106731,611.45,Electronics,Returning
CNV0000055,USR0002261,2025-10-29 02:17:13,purchase,ORD753281,847.3,Education,New
CNV0000056,USR0011701,2025-07-22 16:51:31,signup,ORD952041,207.55,Fashion,New
CNV0000057,USR0010670,2025-08-29 07:00:30,purchase,ORD971635,317.42,Home Goods,Returning
CNV0000058,USR0001391,2025-06-26 23:06:41,signup,ORD189843,398.35,SaaS Subscription,New
CNV0000059,USR0003820,2025-11-28 05:56:29,purchase,ORD221080,24.19,Fashion,New
CNV0000060,USR0004698,2025-10-18 16:37:55,demo_request,ORD928760,93.77,Home Goods,Returning
CNV0000061,USR0017603,2025-05-06 06:06:28,purchase,ORD911638,759.74,Home Goods,New
CNV0000062,USR0010750,2025-09-13 22:15:32,signup,ORD894565,1062.1,Education,Returning
CNV0000063,USR0005198,2025-11-04 12:14:16,purchase,ORD642068,278.05,Education,New
CNV0000064,USR0000202,2025-02-12 12:53:50,purchase,ORD405732,1228.34,Education,New
CNV0000065,USR0009658,2025-04-12 23:32:41,purchase,ORD463959,46.29,Fashion,New
CNV0000066,USR0001577,2025-01-18 03:30:51,lead,ORD675789,103.81,Home Goods,Returning
CNV0000067,USR0001216,2025-08-21 01:02:35,signup,ORD203765,1527.83,Education,New
CNV0000068,USR0013562,2025-08-05 04:40:31,purchase,ORD938407,761.94,SaaS Subscription,New
CNV0000069,USR0009671,2025-05-15 09:25:09,purchase,ORD382917,476.88,Fashion,New
CNV0000070,USR0010063,2025-11-28 20:14:11,signup,ORD692773,1996.45,Electronics,New
CNV0000071,USR0010121,2025-03-12 05:05:37,signup,ORD908823,283.73,Electronics,New
CNV0000072,USR0013224,2025-11-21 11:13:35,signup,ORD688610,72.09,Fashion,Returning
CNV0000073,USR0000135,2025-11-08 21:38:29,purchase,ORD275547,565.42,Home Goods,New
CNV0000074,USR0012075,2025-08-16 14:19:40,purchase,ORD404956,110.33,SaaS Subscription,Returning
CNV0000075,USR0017130,2025-09-21 22:03:00,signup,ORD103116,1743.3,Electronics,Returning
CNV0000076,USR0011235,2025-02-24 08:29:14,signup,ORD142695,537.62,Electronics,Returning
CNV0000077,USR0007250,2025-03-21 08:33:13,purchase,ORD174968,85.28,SaaS Subscription,Returning
CNV0000078,USR0015664,2025-07-24 17:40:47,subscription,ORD468160,874.47,SaaS Subscription,New
CNV0000079,USR0006478,2025-05-25 04:20:01,signup,ORD383815,368.88,Education,New
CNV0000080,USR0003543,2025-12-26 18:55:57,purchase,ORD201669,341.0,Fashion,New
CNV0000081,USR0000396,2025-02-01 22:52:16,lead,ORD304451,375.05,SaaS Subscription,Returning
CNV0000082,USR0007515,2025-02-06 15:07:00,subscription,ORD421448,264.7,SaaS Subscription,Returning
CNV0000083,USR0001972,2025-03-10 15:57:20,purchase,ORD410484,1277.3,Education,New
CNV0000084,USR0012889,2025-06-18 20:11:42,purchase,ORD366519,623.5,Home Goods,New
CNV0000085,USR0009285,2025-01-04 14:23:08,subscription,ORD768119,91.05,Fashion,Returning
CNV0000086,USR0013690,2025-12-30 05:54:09,purchase,ORD557341,28.86,Fashion,New
CNV0000087,USR0005449,2025-12-06 14:29:48,purchase,ORD418872,934.53,SaaS Subscription,New
CNV0000088,USR0003657,2025-12-30 20:17:43,purchase,ORD555809,1621.95,Education,New
CNV0000089,USR0011751,2025-07-29 11:33:39,demo_request,ORD508995,641.49,Education,New
CNV0000090,USR0001638,2025-01-31 20:29:09,purchase,ORD800160,742.78,SaaS Subscription,Returning
CNV0000091,USR0009194,2025-08-21 08:09:46,lead,ORD649565,447.53,Fashion,Returning
CNV0000092,USR0001740,2025-02-02 01:04:41,demo_request,ORD671314,519.58,Electronics,New
CNV0000093,USR0003302,2025-09-02 10:46:24,signup,ORD143499,94.67,Home Goods,New
CNV0000094,USR0004733,2025-04-04 04:59:05,purchase,ORD613732,523.92,Electronics,New
CNV0000095,USR0004251,2025-07-06 01:10:20,purchase,ORD458840,344.16,Fashion,New
CNV0000096,USR0011126,2025-03-27 02:02:22,purchase,ORD176730,333.43,Fashion,Returning
CNV0000097,USR0016949,2025-04-28 08:49:02,signup,ORD977158,206.19,SaaS Subscription,New
CNV0000098,USR0009064,2025-08-11 22:40:40,purchase,ORD689917,521.77,Electronics,New
CNV0000099,USR0016604,2025-07-18 22:24:32,purchase,ORD928321,758.51,Electronics,New
CNV0000100,USR0013925,2025-08-18 16:20:24,demo_request,ORD879170,550.98,Electronics,New
CNV0000101,USR0014217,2025-09-03 08:15:55,purchase,ORD569872,727.71,Home Goods,Returning
CNV0000102,USR0013552,2025-05-27 22:21:30,purchase,ORD686425,321.2,SaaS Subscription,New
CNV0000103,USR0006736,2025-11-08 15:00:05,lead,ORD875611,1507.42,Education,Returning
CNV0000104,USR0016221,2025-07-31 19:22:39,signup,ORD730588,155.15,Home Goods,New
CNV0000105,USR0003180,2025-07-16 17:15:00,demo_request,ORD290820,31.44,Fashion,Returning
CNV0000106,USR0003636,2025-12-24 23:06:09,demo_request,ORD417089,668.9,SaaS Subscription,Returning
CNV0000107,USR0016441,2025-09-11 16:35:27,signup,ORD492531,787.18,Home Goods,New
CNV0000108,USR0010205,2025-09-17 22:12:29,purchase,ORD799997,492.06,SaaS Subscription,New
CNV0000109,USR0002900,2025-10-24 17:29:16,subscription,ORD181209,859.76,Electronics,New
CNV0000110,USR0015212,2025-05-12 12:03:48,purchase,ORD697998,1059.38,Education,New
CNV0000111,USR0005470,2025-06-08 19:09:49,lead,ORD758136,336.02,Fashion,New
CNV0000112,USR0010394,2025-03-07 02:20:21,signup,ORD544388,433.51,Fashion,Returning
CNV0000113,USR0002077,2025-12-18 23:31:30,subscription,ORD190412,157.78,Home Goods,New
